itemId,characterId,alphaMasterPath,oldHevcUrl,newAvconvertUrl,sha256,size,generatedAt,httpStatus,contentType,realDeviceVerified,status
monkey-confused,lingyao-monkey,/Users/liangminghua/Desktop/凌遥猴交付_2026-09-16/alpha_masters/monkey_08_confused_birefnet_alpha_v1.mov,https://pub-baeb836de8654e238577516dce76dea3.r2.dev/seven-stars/lingyao-monkey/08-monkey-confused/delivery/monkey_08_confused_alpha_hevc.mov,https://pub-baeb836de8654e238577516dce76dea3.r2.dev/seven-stars/lingyao-monkey/08-monkey-confused/delivery/monkey_08_confused_alpha_hevc_avconvert_r1.mov,df93b435d9c5309f18314d23a067019df87943a4b446fae22ad1557f1352a248,8709875,2026-09-18T08:31:14Z,200,video/quicktime,false,uploaded
monkey-cool,lingyao-monkey,/Users/liangminghua/Desktop/凌遥猴交付_2026-09-16/alpha_masters/monkey_12_cool_birefnet_alpha_v2.mov,https://pub-baeb836de8654e238577516dce76dea3.r2.dev/seven-stars/lingyao-monkey/12-monkey-cool/delivery/monkey_12_cool_alpha_hevc.mov,https://pub-baeb836de8654e238577516dce76dea3.r2.dev/seven-stars/lingyao-monkey/12-monkey-cool/delivery/monkey_12_cool_alpha_hevc_avconvert_r1.mov,f8dc1c99ba6614273ca9ed00862c24b1201f1b5fd986fedcf6a91d6ac8cec24b,8890953,2026-09-18T08:31:22Z,200,video/quicktime,false,uploaded
monkey-coquettish,lingyao-monkey,/Users/liangminghua/Desktop/凌遥猴交付_2026-09-16/alpha_masters/monkey_11_coquettish_birefnet_alpha_v2.mov,https://pub-baeb836de8654e238577516dce76dea3.r2.dev/seven-stars/lingyao-monkey/11-monkey-coquettish/delivery/monkey_11_coquettish_alpha_hevc.mov,https://pub-baeb836de8654e238577516dce76dea3.r2.dev/seven-stars/lingyao-monkey/11-monkey-coquettish/delivery/monkey_11_coquettish_alpha_hevc_avconvert_r1.mov,37a917fdaf5e7cd0a4094d91c7efd0fa175088a5c06bbb48230c798211cd1bed,9315597,2026-09-18T08:31:35Z,200,video/quicktime,false,uploaded
monkey-disgusted,lingyao-monkey,/Users/liangminghua/Desktop/凌遥猴交付_2026-09-16/alpha_masters/monkey_09_disgusted_birefnet_alpha_v2.mov,https://pub-baeb836de8654e238577516dce76dea3.r2.dev/seven-stars/lingyao-monkey/09-monkey-disgusted/delivery/monkey_09_disgusted_alpha_hevc.mov,https://pub-baeb836de8654e238577516dce76dea3.r2.dev/seven-stars/lingyao-monkey/09-monkey-disgusted/delivery/monkey_09_disgusted_alpha_hevc_avconvert_r1.mov,db9452d89e469cfa1e0e8a9fe6666c055fe8f345b23451e819f2283f606fac05,8873036,2026-09-18T08:31:43Z,200,video/quicktime,false,uploaded
monkey-guilty,lingyao-monkey,/Users/liangminghua/Desktop/凌遥猴交付_2026-09-16/alpha_masters/monkey_14_guilty_birefnet_alpha_v2.mov,https://pub-baeb836de8654e238577516dce76dea3.r2.dev/seven-stars/lingyao-monkey/14-monkey-guilty/delivery/monkey_14_guilty_alpha_hevc.mov,https://pub-baeb836de8654e238577516dce76dea3.r2.dev/seven-stars/lingyao-monkey/14-monkey-guilty/delivery/monkey_14_guilty_alpha_hevc_avconvert_r1.mov,2e773cab938fe99f4ddf83dfa0b8277c7c25f8b45786874335bb24455cba98bb,8944012,2026-09-18T08:31:59Z,200,video/quicktime,false,uploaded
monkey-happy,lingyao-monkey,/Users/liangminghua/Desktop/凌遥猴交付_2026-09-16/alpha_masters/monkey_01_happy_birefnet_alpha_v2.mov,https://pub-baeb836de8654e238577516dce76dea3.r2.dev/seven-stars/lingyao-monkey/01-monkey-happy/delivery/monkey_01_happy_alpha_hevc.mov,https://pub-baeb836de8654e238577516dce76dea3.r2.dev/seven-stars/lingyao-monkey/01-monkey-happy/delivery/monkey_01_happy_alpha_hevc_avconvert_r1.mov,0d414f858fe800ace13b028134a56e3b8ac5a32922b275645cd402e5e38df6ca,9103354,2026-09-18T08:32:14Z,200,video/quicktime,false,uploaded
monkey-jealous,lingyao-monkey,/Users/liangminghua/Desktop/凌遥猴交付_2026-09-16/alpha_masters/monkey_13_jealous_birefnet_alpha_v1.mov,https://pub-baeb836de8654e238577516dce76dea3.r2.dev/seven-stars/lingyao-monkey/13-monkey-jealous/delivery/monkey_13_jealous_alpha_hevc.mov,https://pub-baeb836de8654e238577516dce76dea3.r2.dev/seven-stars/lingyao-monkey/13-monkey-jealous/delivery/monkey_13_jealous_alpha_hevc_avconvert_r1.mov,94932640870f3fa85dca934bde3858b0ceb266a12427afb99bd72c43c6037c80,9040912,2026-09-18T08:32:33Z,200,video/quicktime,false,uploaded
monkey-lowenergy,lingyao-monkey,/Users/liangminghua/Desktop/凌遥猴交付_2026-09-16/alpha_masters/monkey_07_lowenergy_birefnet_alpha_v1.mov,https://pub-baeb836de8654e238577516dce76dea3.r2.dev/seven-stars/lingyao-monkey/07-monkey-lowenergy/delivery/monkey_07_lowenergy_alpha_hevc.mov,https://pub-baeb836de8654e238577516dce76dea3.r2.dev/seven-stars/lingyao-monkey/07-monkey-lowenergy/delivery/monkey_07_lowenergy_alpha_hevc_avconvert_r1.mov,f136b47dca72f19b4294470d37d2123273590b2642af3c5ce612dea963a5898e,8684995,2026-09-18T08:32:50Z,200,video/quicktime,false,uploaded
monkey-playful,lingyao-monkey,/Users/liangminghua/Desktop/凌遥猴交付_2026-09-16/alpha_masters/monkey_05_playful_birefnet_alpha_v2.mov,https://pub-baeb836de8654e238577516dce76dea3.r2.dev/seven-stars/lingyao-monkey/05-monkey-playful/delivery/monkey_05_playful_alpha_hevc.mov,https://pub-baeb836de8654e238577516dce76dea3.r2.dev/seven-stars/lingyao-monkey/05-monkey-playful/delivery/monkey_05_playful_alpha_hevc_avconvert_r1.mov,628f280d6b37b834545af436db7ea4cec56b88ce749af70e8b42470dc7a79e86,8992821,2026-09-18T08:33:03Z,200,video/quicktime,false,uploaded
monkey-pleading,lingyao-monkey,/Users/liangminghua/Desktop/凌遥猴交付_2026-09-16/alpha_masters/monkey_15_apologetic_birefnet_alpha_v1.mov,https://pub-baeb836de8654e238577516dce76dea3.r2.dev/seven-stars/lingyao-monkey/15-monkey-pleading/delivery/monkey_15_apologetic_alpha_hevc.mov,https://pub-baeb836de8654e238577516dce76dea3.r2.dev/seven-stars/lingyao-monkey/15-monkey-pleading/delivery/monkey_15_apologetic_alpha_hevc_avconvert_r1.mov,0a5ff56261fdbb0546c806dd6eff7adf5ef875740263ca19137967d842e29a9d,8826242,2026-09-18T08:33:12Z,200,video/quicktime,false,uploaded
monkey-schadenfreude,lingyao-monkey,/Users/liangminghua/Desktop/凌遥猴交付_2026-09-16/alpha_masters/monkey_10_gloating_birefnet_alpha_v2.mov,https://pub-baeb836de8654e238577516dce76dea3.r2.dev/seven-stars/lingyao-monkey/10-monkey-schadenfreude/delivery/monkey_10_gloating_alpha_hevc.mov,https://pub-baeb836de8654e238577516dce76dea3.r2.dev/seven-stars/lingyao-monkey/10-monkey-schadenfreude/delivery/monkey_10_gloating_alpha_hevc_avconvert_r1.mov,7c9b875c428d5c2a1f4737c0d5d65440d2e06e7d1e5e85193e6d31d9670035df,9016045,2026-09-18T08:33:27Z,200,video/quicktime,false,uploaded
monkey-stubborn,lingyao-monkey,/Users/liangminghua/Desktop/凌遥猴交付_2026-09-16/alpha_masters/monkey_06_stubborn_birefnet_alpha_v2.mov,https://pub-baeb836de8654e238577516dce76dea3.r2.dev/seven-stars/lingyao-monkey/06-monkey-stubborn/delivery/monkey_06_stubborn_alpha_hevc.mov,https://pub-baeb836de8654e238577516dce76dea3.r2.dev/seven-stars/lingyao-monkey/06-monkey-stubborn/delivery/monkey_06_stubborn_alpha_hevc_avconvert_r1.mov,05300fbd1d292e7eb70ad7b519641fb8374b4e2e5f9bb74c9269ddeb62090a65,8916656,2026-09-18T08:33:42Z,200,video/quicktime,false,uploaded
monkey-surprised,lingyao-monkey,/Users/liangminghua/Desktop/凌遥猴交付_2026-09-16/alpha_masters/monkey_04_surprised_birefnet_alpha_v2.mov,https://pub-baeb836de8654e238577516dce76dea3.r2.dev/seven-stars/lingyao-monkey/04-monkey-surprised/delivery/monkey_04_surprised_alpha_hevc.mov,https://pub-baeb836de8654e238577516dce76dea3.r2.dev/seven-stars/lingyao-monkey/04-monkey-surprised/delivery/monkey_04_surprised_alpha_hevc_avconvert_r1.mov,c1e9ec469bdd1221fc14612315506261eb9a7d65ac39f86e92505b04ca2b57c8,9129409,2026-09-18T08:33:59Z,200,video/quicktime,false,uploaded
monkey-wronged,lingyao-monkey,/Users/liangminghua/Desktop/凌遥猴交付_2026-09-16/alpha_masters/monkey_02_wronged_birefnet_alpha_v2.mov,https://pub-baeb836de8654e238577516dce76dea3.r2.dev/seven-stars/lingyao-monkey/02-monkey-wronged/delivery/monkey_02_wronged_alpha_hevc.mov,https://pub-baeb836de8654e238577516dce76dea3.r2.dev/seven-stars/lingyao-monkey/02-monkey-wronged/delivery/monkey_02_wronged_alpha_hevc_avconvert_r1.mov,6471f209da275a9da658ab6ccd6926449666e3a95ac44ec8b7dacf439463c7e4,8726412,2026-09-18T08:34:11Z,200,video/quicktime,true,uploaded
